0 0 620.0
0 1 620.0
0 2 620.0
0 3 620.0
0 4 620.0
0 5 620.0
0 6 124.0
0 7 124.0
0 8 0.0
0 9 0.0
0 10 0.0
0 11 0.0
0 12 0.0
0 13 0.0
0 14 0.0
0 15 0.0
0 16 0.0
0 17 0.0
0 18 0.0
0 19 0.0
1 0 620.0
1 1 620.0
1 2 620.0
1 3 620.0
1 4 620.0
1 5 620.0
1 6 124.0
1 7 124.0
1 8 0.0
1 9 0.0
1 10 0.0
1 11 0.0
1 12 0.0
1 13 0.0
1 14 0.0
1 15 0.0
1 16 0.0
1 17 0.0
1 18 0.0
1 19 0.0
2 0 620.0
2 1 620.0
2 2 620.0
2 3 620.0
2 4 620.0
2 5 620.0
2 6 124.0
2 7 124.0
2 8 0.0
2 9 0.0
2 10 0.0
2 11 0.0
2 12 0.0
2 13 0.0
2 14 0.0
2 15 0.0
2 16 0.0
2 17 0.0
2 18 0.0
2 19 0.0
3 0 620.0
3 1 620.0
3 2 620.0
3 3 620.0
3 4 620.0
3 5 620.0
3 6 124.0
3 7 124.0
3 8 0.0
3 9 0.0
3 10 0.0
3 11 0.0
3 12 0.0
3 13 0.0
3 14 0.0
3 15 0.0
3 16 0.0
3 17 0.0
3 18 0.0
3 19 0.0
4 0 620.0
4 1 620.0
4 2 620.0
4 3 620.0
4 4 620.0
4 5 620.0
4 6 124.0
4 7 124.0
4 8 0.0
4 9 0.0
4 10 0.0
4 11 0.0
4 12 0.0
4 13 0.0
4 14 0.0
4 15 0.0
4 16 0.0
4 17 0.0
4 18 0.0
4 19 0.0
5 0 620.0
5 1 620.0
5 2 620.0
5 3 620.0
5 4 620.0
5 5 620.0
5 6 124.0
5 7 124.0
5 8 0.0
5 9 0.0
5 10 0.0
5 11 0.0
5 12 0.0
5 13 0.0
5 14 0.0
5 15 0.0
5 16 0.0
5 17 0.0
5 18 0.0
5 19 0.0
6 0 620.0
6 1 620.0
6 2 620.0
6 3 620.0
6 4 620.0
6 5 620.0
6 6 124.0
6 7 124.0
6 8 0.0
6 9 0.0
6 10 0.0
6 11 0.0
6 12 0.0
6 13 0.0
6 14 0.0
6 15 0.0
6 16 0.0
6 17 0.0
6 18 0.0
6 19 0.0
7 0 620.0
7 1 620.0
7 2 620.0
7 3 620.0
7 4 620.0
7 5 620.0
7 6 124.0
7 7 124.0
7 8 0.0
7 9 0.0
7 10 0.0
7 11 0.0
7 12 0.0
7 13 0.0
7 14 0.0
7 15 0.0
7 16 0.0
7 17 0.0
7 18 0.0
7 19 0.0
8 0 620.0
8 1 620.0
8 2 620.0
8 3 620.0
8 4 620.0
8 5 620.0
8 6 124.0
8 7 124.0
8 8 0.0
8 9 0.0
8 10 0.0
8 11 0.0
8 12 0.0
8 13 0.0
8 14 0.0
8 15 0.0
8 16 0.0
8 17 0.0
8 18 0.0
8 19 0.0
9 0 620.0
9 1 620.0
9 2 620.0
9 3 620.0
9 4 620.0
9 5 620.0
9 6 124.0
9 7 124.0
9 8 0.0
9 9 0.0
9 10 0.0
9 11 0.0
9 12 0.0
9 13 0.0
9 14 0.0
9 15 0.0
9 16 0.0
9 17 0.0
9 18 0.0
9 19 0.0
10 0 620.0
10 1 620.0
10 2 620.0
10 3 620.0
10 4 620.0
10 5 620.0
10 6 124.0
10 7 124.0
10 8 0.0
10 9 0.0
10 10 0.0
10 11 0.0
10 12 0.0
10 13 0.0
10 14 0.0
10 15 0.0
10 16 0.0
10 17 0.0
10 18 0.0
10 19 0.0
11 0 620.0
11 1 620.0
11 2 620.0
11 3 620.0
11 4 620.0
11 5 620.0
11 6 124.0
11 7 124.0
11 8 0.0
11 9 0.0
11 10 0.0
11 11 0.0
11 12 0.0
11 13 0.0
11 14 0.0
11 15 0.0
11 16 0.0
11 17 0.0
11 18 0.0
11 19 0.0
12 0 124.0
12 1 124.0
12 2 124.0
12 3 124.0
12 4 124.0
12 5 124.0
12 6 124.0
12 7 124.0
12 8 124.0
12 9 124.0
12 10 124.0
12 11 0.0
12 12 0.0
12 13 0.0
12 14 0.0
12 15 0.0
12 16 0.0
12 17 0.0
12 18 0.0
12 19 0.0
13 0 124.0
13 1 124.0
13 2 124.0
13 3 124.0
13 4 124.0
13 5 124.0
13 6 124.0
13 7 124.0
13 8 124.0
13 9 124.0
13 10 124.0
13 11 124.0
13 12 0.0
13 13 0.0
13 14 0.0
13 15 0.0
13 16 0.0
13 17 0.0
13 18 0.0
13 19 0.0
14 0 310.0
14 1 310.0
14 2 310.0
14 3 310.0
14 4 310.0
14 5 310.0
14 6 310.0
14 7 310.0
14 8 310.0
14 9 310.0
14 10 310.0
14 11 310.0
14 12 124.0
14 13 124.0
14 14 0.0
14 15 0.0
14 16 0.0
14 17 0.0
14 18 0.0
14 19 0.0
15 0 620.0
15 1 620.0
15 2 620.0
15 3 620.0
15 4 620.0
15 5 620.0
